id,start,end,size,owner
1,3/7/22,9/28/22,9400,10 Tanker
2,5/3/22,11/4/22,4000,Coulson
3,3/29/22,10/1/22,3000,Aero Air
4,4/5/22,10/7/22,3000,Aero Air
5,5/11/22,11/12/22,3000,Aero Flite
6,5/20/22,11/21/22,3000,Aero Flite
7,3/16/22,9/17/22,3000,Neptune
8,3/26/22,9/27/22,3000,Neptune
9,4/5/22,10/7/22,3000,Neptune
10,4/14/22,10/16/22,3000,Neptune
11,3/28/22,9/29/22,3000,Aero Flite
12,5/7/22,11/8/22,3000,Aero Flite
13,3/3/22,10/1/22,9400,10 Tanker
14,5/15/22,11/16/22,4000,Coulson
15,4/13/22,10/15/22,3000,Aero Flite
16,4/20/22,10/22/22,3000,Aero Flite
17,4/21/22,10/23/22,3000,Aero Air
18,5/28/22,11/29/22,3000,Aero Air